,0,1,2,3
DecFeb_dT,3.007650375366211,3.3268768310546877,3.628225153142756,3.2720554896763394
DecFeb_dP,1.126994639635086,1.1414888203144073,1.1685775518417358,1.1422310102553594
MarMay_dT,2.3982763290405273,2.758612060546875,2.821809248490767,2.6300746372767856
MarMay_dP,1.1121953018009663,1.130962723493576,1.2143040624531833,1.0692147357123238
JunAug_dT,2.11643123626709,2.740203857421875,2.8021087646484375,3.5678914388020835
JunAug_dP,1.0556530319154263,0.9454767018556595,1.0101045234636827,0.852088178907122
SepNov_dT,2.180953025817871,2.4583084106445314,2.9605671275745737,2.756500244140625
SepNov_dP,1.0863947607576847,1.0274459660053252,1.108594227920879,1.0363309298242842
DecFeb_dP_var,0.9965462644586414,0.9817986657285298,1.011353328824492,0.9889747505021541
MarMay_dP_var,1.031234119527535,0.9534478834375733,0.9850758584851635,1.0191090109525802
JunAug_dP_var,1.0045908641930885,1.0283834369002807,1.0327962839883353,1.0425325256386724
SepNov_dP_var,1.0029491119251022,1.0019922103215342,1.015540701516664,1.0474977249116155
